"X","Y","median","q99","nobs"
343625,8552875,15.87,22.72,22263
343625,8552925,15.18,20.81,25000
343625,8552975,15.52,26.14,25000
343675,8552425,12.91,19.03,18327
343675,8552475,15.31,20.42,24985
343675,8552525,12.97,18.55,25000
343675,8552575,15.43,21.42,25000
343675,8552625,14.28,19.79,25000
343675,8552675,14.91,21.8801,25000
343675,8552725,16.21,23.5401,25000
343675,8552775,14.69,22.46,25000
343675,8552825,14.27,20.4701,25000
343675,8552875,14.53,21.5501,25000
343675,8552925,17.32,22.54,25000
343675,8552975,16.62,25.96,25000
343725,8552425,16.67,21.9237,21964
343725,8552475,15.16,23.3102,25000
343725,8552525,15.17,23.89,25000
343725,8552575,15.69,21.85,25000
343725,8552625,14.85,22.4,25000
343725,8552675,14.35,18.8301,25000
343725,8552725,14.38,24.66,25000
343725,8552775,15.18,23.46,25000
343725,8552825,14.51,20.1801,25000
343725,8552875,14.53,21.7201,25000
343725,8552925,15.73,21.92,25000
343725,8552975,13.61,22.23,25000
343775,8552475,16.96,24.0101,25000
343775,8552525,14.92,19.61,25000
343775,8552575,17.04,25.64,25000
343775,8552625,15.92,20.95,25000
343775,8552675,15.24,20.4701,25000
343775,8552725,12.37,20.53,25000
343775,8552775,14.38,20.3301,25000
343775,8552825,14.08,19.47,25000
343775,8552875,14.67,19.76,25000
343775,8552925,13.36,20.1302,25000
343775,8552975,13.55,23.46,25000
343825,8552475,15.78,21.43,25000
343825,8552525,14.82,20.12,25000
343825,8552575,15.71,22.26,25000
343825,8552625,15.89,22.15,25000
343825,8552675,14.46,23.38,25000
343825,8552725,12.06,19.2501,25000
343825,8552775,14.49,24.72,25000
343825,8552825,13.455,21.2001,25000
343825,8552875,15.02,20.27,25000
343825,8552925,14.5,22.9101,25000
343825,8552975,13.57,19.37,25000
343875,8552475,16.02,22.03,25000
343875,8552525,16.12,23.2801,25000
343875,8552575,15.89,23.87,25000
343875,8552625,15.71,24.2901,25000
343875,8552675,15.26,22.71,25000
343875,8552725,13.6,20.8101,25000
343875,8552775,13.59,19.03,25000
343875,8552825,14.17,20.4901,25000
343875,8552875,14.42,21.64,25000
343875,8552925,12.71,19.8901,25000
343875,8552975,16.59,21.94,25000
343925,8552475,16.17,23.82,25000
343925,8552525,15.86,24.1401,25000
343925,8552575,15.99,25.85,25000
343925,8552625,15.72,21.37,25000
343925,8552675,14.17,23,25000
343925,8552725,14.33,21.1001,25000
343925,8552775,15.05,22.08,25000
343925,8552825,15.56,20.47,25000
343925,8552875,14.02,20.58,25000
343925,8552925,13.265,19.14,25000
343925,8552975,13.59,20.77,25000
343975,8552475,16.67,25.14,25000
343975,8552525,15.63,26.4401,25000
343975,8552575,17.21,23.9801,25000
343975,8552625,16.24,23.4301,25000
343975,8552675,15.33,23.18,25000
343975,8552725,14.3,22.2901,25000
343975,8552775,13.83,22.4,25000
343975,8552825,16.21,23.5501,25000
343975,8552875,15.7,22.3801,25000
343975,8552925,14.595,22.63,25000
343975,8552975,14.57,22.2201,25000
343575,8553325,16.07,23.89,20821
343575,8553375,15.49,22.8,25000
343575,8553425,17.4,23.71,25000
343575,8553475,15.78,22.23,23091
343575,8553525,15.74,20.64,25000
343575,8553575,14.88,20.12,25000
343575,8553625,14.94,21.56,25000
343575,8553675,14.99,23.0601,25000
343575,8553725,15.66,21.93,25000
343575,8553775,17.54,25.99,19396
343625,8553025,15.49,22.9,25000
343625,8553075,14.01,21.4001,25000
343625,8553125,14.02,20.46,25000
343625,8553175,16.9,21.48,25000
343625,8553225,14.46,25.1701,25000
343625,8553275,16.72,21.79,25000
343625,8553325,18.37,24.1501,25000
343625,8553375,15.32,21.96,25000
343625,8553425,13.85,19.32,25000
343625,8553475,13.97,23.6701,25000
343625,8553525,15.52,19.84,25000
343625,8553575,14.97,18.61,25000
343625,8553625,14.48,18.8201,25000
343625,8553675,14.74,19.6601,25000
343625,8553725,15.07,19.83,25000
343625,8553775,15.3,20.49,23000
343675,8553025,15.18,23.03,25000
343675,8553075,13.83,21.51,25000
343675,8553125,14.33,21.2202,25000
343675,8553175,15.87,21.8701,25000
343675,8553225,14.41,22.96,25000
343675,8553275,14.01,20.52,25000
343675,8553325,15.04,24.4001,25000
343675,8553375,16.09,23.54,25000
343675,8553425,14.27,20.8401,25000
343675,8553475,14.29,19.8,25000
343675,8553525,13.515,19.66,25000
343675,8553575,13.77,19.8,25000
343675,8553625,13.22,23.17,25000
343675,8553675,16.34,20.6,25000
343675,8553725,14.57,20.8101,25000
343675,8553775,13.69,20.15,25000
343725,8553025,14.2,20.07,25000
343725,8553075,14.5,23.12,25000
343725,8553125,14.8,25.5101,25000
343725,8553175,14.61,24.4801,25000
343725,8553225,14.96,22.27,25000
343725,8553275,15.56,21.7801,25000
343725,8553325,17.09,22.77,25000
343725,8553375,16.225,24.17,25000
343725,8553425,15.1,20.7701,25000
343725,8553475,15.09,19.68,25000
343725,8553525,14.17,18.9301,25000
343725,8553575,15.89,23.29,25000
343725,8553625,14.01,19.65,25000
343725,8553675,14.6,19.35,25000
343725,8553725,15.36,23.46,25000
343725,8553775,16.02,22.66,25000
343775,8553025,12.87,22.11,25000
343775,8553075,14.71,23.48,25000
343775,8553125,13.91,20.4303,25000
343775,8553175,14.82,24.8,25000
343775,8553225,15.75,22.39,25000
343775,8553275,14.88,23.17,25000
343775,8553325,15.01,23.11,25000
343775,8553375,15.59,22.88,25000
343775,8553425,16.3,22.38,25000
343775,8553475,16.165,21.1601,25000
343775,8553525,15.96,19.58,25000
343775,8553575,14.51,19.21,25000
343775,8553625,13.08,18.84,25000
343775,8553675,15.24,22.27,25000
343775,8553725,15.06,19.81,25000
343775,8553775,12.7,19.55,25000
343825,8553025,15.01,22.87,25000
343825,8553075,13.89,21.47,25000
343825,8553125,13.94,18.34,25000
343825,8553175,14.45,19.77,25000
343825,8553225,14.92,21.77,25000
343825,8553275,15.03,22.43,25000
343825,8553325,15.2,20.76,25000
343825,8553375,15.2,22.03,25000
343825,8553425,17.25,21.2601,25000
343825,8553475,16.69,22.8,25000
343825,8553525,13.65,18.37,25000
343825,8553575,14.87,19.05,25000
343825,8553625,16.14,23.81,25000
343825,8553675,16.05,19.78,25000
343825,8553725,14.46,19.3402,25000
343825,8553775,13.51,20.2901,25000
343875,8553025,14.27,21.3201,25000
343875,8553075,12.68,18.5201,25000
343875,8553125,13.45,21.3101,25000
343875,8553175,15.59,19.67,25000
343875,8553225,14.6,20.48,25000
343875,8553275,17.52,23.51,25000
343875,8553325,14.55,19.4,25000
343875,8553375,15.89,23.0501,25000
343875,8553425,15.02,21.92,25000
343875,8553475,14.19,21.4101,25000
343875,8553525,14.68,18.87,25000
343875,8553575,15.2,24.94,25000
343875,8553625,13.98,20.4001,25000
343875,8553675,14.97,19.8001,25000
343875,8553725,14.05,21.44,25000
343875,8553775,14.71,23.8,25000
343925,8553025,14.7,23.23,25000
343925,8553075,14.61,21.4,25000
343925,8553125,14.03,23.1601,25000
343925,8553175,14.24,19.31,25000
343925,8553225,13.38,22.76,25000
343925,8553275,16,23.52,25000
343925,8553325,14.85,21.37,25000
343925,8553375,15.18,20.19,25000
343925,8553425,14.64,20.17,25000
343925,8553475,15.48,19.03,25000
343925,8553525,14.84,20.0201,25000
343925,8553575,14.51,22.08,25000
343925,8553625,13.76,26.2103999999999,25000
343925,8553675,14.81,23.8701,25000
343925,8553725,15.02,21.7,25000
343925,8553775,17.24,24.5201,25000
343975,8553025,15.39,19.3,25000
343975,8553075,16.35,22.28,25000
343975,8553125,13.48,19.29,25000
343975,8553175,15.64,20.2001,25000
343975,8553225,14.19,22.5501,25000
343975,8553275,14.12,22.6901,25000
343975,8553325,14.9,25.97,25000
343975,8553375,15.765,22.5,25000
343975,8553425,13.58,21.0001,25000
343975,8553475,15.81,20.8901,25000
343975,8553525,14.99,20.74,25000
343975,8553575,13.08,19.54,25000
343975,8553625,14.16,26.27,25000
343975,8553675,12.99,20.36,25000
343975,8553725,14.46,22.44,25000
343975,8553775,13.55,19.57,25000
343975,8553825,13.94,19.1857,15044
344025,8552475,15.92,23.21,25000
344025,8552525,16.71,25.74,25000
344025,8552575,17,24.01,25000
344025,8552625,16.18,25.19,25000
344025,8552675,14.47,19.3601,25000
344025,8552725,14.62,24.18,25000
344025,8552775,15.14,21.51,25000
344025,8552825,14.94,23.87,25000
344025,8552875,15.35,21.8,25000
344025,8552925,15.65,21.7,25000
344025,8552975,14.99,20.6001,25000
344075,8552475,15.76,21.7701,25000
344075,8552525,16.54,21.88,25000
344075,8552575,15.41,25.03,25000
344075,8552625,15.97,22.9801,25000
344075,8552675,15.37,20.27,25000
344075,8552725,15.97,25.95,25000
344075,8552775,14.48,23.2,25000
344075,8552825,15.97,23.2901,25000
344075,8552875,15.12,22.47,25000
344075,8552925,14.98,20.81,25000
344075,8552975,16.28,23.5401,25000
344125,8552475,16.21,23.75,25000
344125,8552525,15.25,22.01,25000
344125,8552575,16.7,22.1901,25000
344125,8552625,16.21,23.76,25000
344125,8552675,16.26,24.0501,25000
344125,8552725,16.06,25.9801,25000
344125,8552775,15.44,19.77,25000
344125,8552825,14.36,21.4801,25000
344125,8552875,13.325,18.21,25000
344125,8552925,13.47,18.7501,25000
344125,8552975,15,24.15,25000
344175,8552475,14.83,21.7801,25000
344175,8552525,14.54,20.6301,25000
344175,8552575,15.38,20.5401,25000
344175,8552625,15.74,24.4301,25000
344175,8552675,15.36,21.95,25000
344175,8552725,14.7,20.46,25000
344175,8552775,13.51,26.11,25000
344175,8552825,14.42,22.2101,25000
344175,8552875,14.51,20.27,25000
344175,8552925,14.19,24.48,25000
344175,8552975,14.9,22.5301,25000
344225,8552475,15.71,19.38,19861
344225,8552525,15.6,22.52,25000
344225,8552575,14.54,20.3901,25000
344225,8552625,15.77,26,25000
344225,8552675,17.09,24.68,25000
344225,8552725,14.33,25,25000
344225,8552775,13.94,21,25000
344225,8552825,16.55,21.89,25000
344225,8552875,15.89,21.42,25000
344225,8552925,15.03,22.34,25000
344225,8552975,15.31,22.22,25000
344275,8552525,15.49,21.6701,25000
344275,8552575,14.84,20.4901,25000
344275,8552625,16.48,21.85,25000
344275,8552675,14.23,20.21,25000
344275,8552725,14.76,19.8502,25000
344275,8552775,15.11,23.02,25000
344275,8552825,14.74,23.3401,25000
344275,8552875,16.54,23.3,25000
344275,8552925,15.14,21,25000
344275,8552975,16.99,23.42,25000
344325,8552525,15.32,22.9001,25000
344325,8552575,15.515,21.76,25000
344325,8552625,15.62,24.3901,25000
344325,8552675,15.72,24.6401,25000
344325,8552725,16.09,20.94,25000
344325,8552775,14.345,19.12,25000
344325,8552825,15.38,22.4001,25000
344325,8552875,17.44,25.06,25000
344325,8552925,14.735,28.72,25000
344325,8552975,14.84,22.8,25000
344375,8552525,15.67,21.67,25000
344375,8552575,15.67,22.1801,25000
344375,8552625,15.77,22.07,25000
344375,8552675,14.75,20.29,25000
344375,8552725,13.955,20.37,25000
344375,8552775,14.73,21.5501,25000
344375,8552825,15.87,23.73,25000
344375,8552875,17.3,22.8501,25000
344375,8552925,14.63,22.01,25000
