"X","Y","fire.treat","d.edge"
348525,8553225,"1x",950
348525,8553725,"1x",450
348525,8553575,"1x",600
348525,8553425,"1x",750
348525,8553275,"1x",900
348525,8553775,"1x",400
348525,8553625,"1x",550
348525,8553475,"1x",700
348525,8553325,"1x",850
348525,8553825,"1x",350
348525,8553675,"1x",500
348525,8553525,"1x",650
348525,8553375,"1x",800
348525,8553875,"1x",300
348525,8554075,"1x",100
348525,8553925,"1x",250
348525,8554125,"1x",50
348525,8553975,"1x",200
348525,8554175,"1x",0
348525,8554025,"1x",150
349425,8553225,"6x",950
349425,8553275,"6x",900
349425,8553325,"6x",850
349425,8553375,"6x",800
349425,8553875,"6x",300
349425,8553725,"6x",450
349425,8553425,"6x",750
349425,8553925,"6x",250
349425,8553775,"6x",400
349425,8553475,"6x",700
349425,8553975,"6x",200
349425,8553825,"6x",350
349425,8553525,"6x",650
349425,8554025,"6x",150
349425,8553575,"6x",600
349425,8554075,"6x",100
349425,8553625,"6x",550
349425,8554125,"6x",50
349425,8553675,"6x",500
349425,8554175,"6x",0
349925,8553225,"3x",950
349925,8553725,"3x",450
349925,8553275,"3x",900
349925,8553775,"3x",400
349925,8553325,"3x",850
349925,8553825,"3x",350
349925,8553375,"3x",800
349925,8553875,"3x",300
349925,8553575,"3x",600
349925,8553425,"3x",750
349925,8553925,"3x",250
349925,8553625,"3x",550
349925,8553475,"3x",700
349925,8553975,"3x",200
349925,8553675,"3x",500
349925,8553525,"3x",650
349925,8554025,"3x",150
349925,8554075,"3x",100
349925,8554125,"3x",50
349925,8554175,"3x",0
350425,8553375,"C",800
350425,8553225,"C",950
350425,8553425,"C",750
350425,8553275,"C",900
350425,8553475,"C",700
350425,8553325,"C",850
350425,8553525,"C",650
350425,8554025,"C",150
350425,8553875,"C",300
350425,8553725,"C",450
350425,8553575,"C",600
350425,8554075,"C",100
350425,8553925,"C",250
350425,8553775,"C",400
350425,8553625,"C",550
350425,8554125,"C",50
350425,8553975,"C",200
350425,8553825,"C",350
350425,8553675,"C",500
350425,8554175,"C",0
