"x","y","transect"
"348977.4256","8553666.40301637","T01"
"349210.6593","8553227.54285884","T01"
"348737.45","8553530.92666292","T02"
"348991.1968","8553106.30421468","T02"
"348509.5758","8553420.57819582","T03"
"348775.3708","8552996.31747","T03"
"348321.54","8553328.42124581","T04"
"348543.7069","8552898.66509421","T04"
"348107.9894","8553199.15387423","T05"
"348325.1451","8552772.92320938","T05"
"347876.6253","8553094.80152713","T06"
"348103.0759","8552657.58612805","T06"
"347658.7743","8552987.98533333","T07"
"347877.7828","8552554.8189842","T07"
"347440.1622","8552868.07944441","T08"
"347664.8535","8552432.05236221","T08"
"347217.1579","8552743.90189293","T09"
"347435.938","8552316.90734002","T09"
"346992.2668","8552629.02188728","T10"
"347208.4115","8552224.91404131","T10"
