"X","Y","fire.treat","Parcela","dist.borda"
350225,8553225,"Control","A",950
350275,8553225,"Control","A",950
350325,8553225,"Control","A",950
350375,8553225,"Control","A",950
350425,8553225,"Control","A",950
350475,8553225,"Control","A",950
350525,8553225,"Control","A",950
350575,8553225,"Control","A",950
350625,8553225,"Control","A",950
350675,8553225,"Control","A",950
350725,8553225,"Control","A",100
350225,8553275,"Control","A",900
350275,8553275,"Control","A",900
350325,8553275,"Control","A",900
350375,8553275,"Control","A",900
350425,8553275,"Control","A",900
350475,8553275,"Control","A",900
350525,8553275,"Control","A",900
350575,8553275,"Control","A",900
350625,8553275,"Control","A",900
350675,8553275,"Control","A",900
350725,8553275,"Control","A",50
350225,8553325,"Control","A",850
350275,8553325,"Control","A",850
350325,8553325,"Control","A",850
350375,8553325,"Control","A",850
350425,8553325,"Control","A",850
350475,8553325,"Control","A",850
350525,8553325,"Control","A",850
350575,8553325,"Control","A",850
350625,8553325,"Control","A",850
350675,8553325,"Control","A",850
350725,8553325,"Control","A",0
350225,8553375,"Control","A",800
350275,8553375,"Control","A",800
350325,8553375,"Control","A",800
350375,8553375,"Control","A",800
350425,8553375,"Control","A",800
350475,8553375,"Control","A",800
350525,8553375,"Control","A",800
350575,8553375,"Control","A",800
350625,8553375,"Control","A",800
350675,8553375,"Control","A",800
350225,8553425,"Control","A",750
350275,8553425,"Control","A",750
350325,8553425,"Control","A",750
350375,8553425,"Control","A",750
350425,8553425,"Control","A",750
350475,8553425,"Control","A",750
350525,8553425,"Control","A",750
350575,8553425,"Control","A",750
350625,8553425,"Control","A",750
350675,8553425,"Control","A",750
350225,8553475,"Control","A",700
350275,8553475,"Control","A",700
350325,8553475,"Control","A",700
350375,8553475,"Control","A",700
350425,8553475,"Control","A",700
350475,8553475,"Control","A",700
350525,8553475,"Control","A",700
350575,8553475,"Control","A",700
350625,8553475,"Control","A",700
350675,8553475,"Control","A",700
350225,8553525,"Control","A",650
350275,8553525,"Control","A",650
350325,8553525,"Control","A",650
350375,8553525,"Control","A",650
350425,8553525,"Control","A",650
350475,8553525,"Control","A",650
350525,8553525,"Control","A",650
350575,8553525,"Control","A",650
350625,8553525,"Control","A",650
350675,8553525,"Control","A",650
350225,8553575,"Control","A",600
350275,8553575,"Control","A",600
350325,8553575,"Control","A",600
