"transecto","treat","dclass.25","dclass.35","dclass.45","dclass.55","dclass.65","dclass.75","dclass.85","dclass.95","d.edge"
"A","3x",1,1,0,0,0.5,0,0,0,50
"A","6x",6.5,3,2,1,0,0,0,0,50
"A","C",46,18,9,3.5,2.5,0.5,0,0,50
"C","6x",19,10,6,4,2,3,1,1,100
"C","C",47,34,13,4,1,2,0,0,100
"C","3x",1,0,0,1,1,0,0,0,100
"F","C",75,25,8,10,6,5,2,2,250
"F","6x",54,35,15,6,1,2,0,0,250
"F","3x",8,11,0,2,0,1,0,0,250
"K","C",71,38,9,7,3,1,0,0,500
"K","3x",29,15,7,4,2,3,0,0,500
"K","6x",24,25,7,0,2,3,0,0,500
"P","3x",30,30,13,7,4,2,0,1,750
"P","6x",34,22,5,6,1,0,0,1,750
"P","C",79,34,14,8,4,1,1,1,750
