"fire.treat","Parcela","d.edge","gr1","gr2","gr3","gr4"
"Control","A",50,0.12005622929315,0.487565213457601,0.0273405719642568,0.357508611760062
"3x","B",50,0.726655030701297,0.256620342560091,0.00193213315827578,0.0141911742559699
"6x","C",50,0.688283461587285,0.264377390809257,0.00353545016838997,0.0431562044368242
"1x","D",50,0.0281636791338728,0.441304398817738,0.0401623969488341,0.485395505748861
"Control","A",100,0.120135179823958,0.368297127562033,0.0404193954420797,0.44897912228425
"3x","B",100,0.637027119459855,0.331849753537113,0.00178489102721347,0.0271310988325275
"6x","C",100,0.678854747253965,0.186462805539022,0.00915016152395431,0.111305960133205
"1x","D",100,0.0235141473209808,0.4157468011102,0.00826891995554868,0.548918740734748
"Control","A",250,0.130748101659297,0.498400597616649,0.0637942431283979,0.282396016295918
"3x","B",250,0.56593829364498,0.375009451507223,0.00546263722213174,0.047341176592865
"6x","C",250,0.498986707552975,0.156165775863702,0.0161797228832724,0.309548800703225
"1x","D",250,0.0319510836108298,0.467630265764174,0.0145156472756378,0.484256637102417
"Control","A",500,0.108347063989143,0.349808027363552,0.0264481519340015,0.498232084097437
"3x","B",500,0.192681039158205,0.640373240075799,0.0084807931705626,0.139979698228065
"6x","C",500,0.405087833445409,0.320896532051381,0.0184935776173827,0.236310304724149
"1x","D",500,0.0271435730438906,0.446921010648814,0.0388215446624216,0.482166643862335
"Control","A",750,0.145933189249575,0.259672893184017,0.0464129495102429,0.527836586871309
"3x","B",750,0.112567055132255,0.68325539965812,0.0104180662072926,0.179882268538805
"6x","C",750,0.175929709453909,0.631455100951031,0.00554805614172313,0.178810771611847
"1x","D",750,0.0323602830368413,0.404715993848197,0.0067517543620027,0.553139433998232
