"X","Y","z1.5","z2.5","z3.5","z4.5","z5.5","z6.5","z7.5","z8.5","z9.5","z10.5","z11.5","z12.5","z13.5","z14.5","z15.5","z16.5","z17.5","z18.5","z19.5","z20.5","z21.5","z22.5","z23.5","z24.5","z25.5","z26.5","z27.5","z28.5","z29.5","z30.5","z31.5","z32.5","z33.5","z34.5","z35.5"
343675,8552425,21,25,15,17,19,12,25,11,10,9,8,9,8,9,6,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343725,8552425,12,13,11,11,8,21,20,7,11,11,12,16,13,16,9,15,16,6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343675,8552475,12,11,25,18,20,14,17,17,9,16,13,20,8,10,12,7,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343725,8552475,16,14,18,13,11,18,12,16,17,12,11,11,16,12,6,7,6,5,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
343775,8552475,13,16,15,15,9,8,10,10,18,9,17,18,17,12,17,8,3,5,3,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
343825,8552475,14,14,7,8,13,11,11,14,15,10,8,15,8,13,7,6,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343875,8552475,16,8,16,8,17,12,16,19,17,12,14,22,15,16,12,7,10,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343925,8552475,16,5,13,14,10,8,12,13,15,17,14,21,14,12,11,7,4,6,2,3,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0
343975,8552475,15,11,11,10,11,16,11,16,8,13,16,13,8,10,8,12,7,4,4,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0
343675,8552525,33,22,17,21,15,16,10,5,7,8,5,10,7,12,7,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343725,8552525,19,9,15,16,9,16,17,17,21,8,14,21,8,9,6,4,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343775,8552525,17,19,16,10,12,19,14,8,15,7,5,18,7,9,11,7,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343825,8552525,10,12,14,17,15,17,28,19,16,14,13,12,9,8,10,5,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343875,8552525,6,11,9,12,14,11,17,17,10,16,10,9,10,10,16,9,6,5,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
343925,8552525,16,10,7,13,11,22,16,17,16,15,12,14,11,18,12,10,6,4,3,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
343975,8552525,8,8,12,10,17,13,13,19,25,12,15,13,18,14,6,6,3,0,1,6,2,3,0,1,0,1,0,0,0,0,0,0,0,0,0
343675,8552575,12,13,12,8,15,10,15,13,23,13,18,16,11,13,16,12,7,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343725,8552575,13,15,9,13,9,15,17,10,7,18,16,15,8,16,3,5,2,6,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343775,8552575,19,6,9,9,15,13,14,11,12,10,9,13,10,12,12,9,11,9,8,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
343825,8552575,13,6,13,11,19,12,23,12,15,10,11,17,16,10,13,8,9,2,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
343875,8552575,9,7,9,5,16,12,13,13,11,22,13,12,14,11,14,15,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343925,8552575,8,16,10,11,17,12,13,12,17,12,12,16,10,6,6,6,6,3,1,5,1,4,1,1,0,1,0,0,0,0,0,0,0,0,0
343975,8552575,12,8,7,12,11,13,12,11,17,16,15,14,11,13,10,12,12,9,9,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
343675,8552625,15,15,13,20,19,17,24,13,18,16,15,13,16,12,7,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343725,8552625,10,15,11,14,19,21,19,11,12,20,17,18,13,18,8,6,4,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
343775,8552625,17,13,16,14,11,10,14,6,14,8,13,13,9,11,12,9,8,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343825,8552625,16,8,8,16,14,15,6,14,12,18,19,15,17,11,8,16,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
343875,8552625,10,14,14,10,11,13,25,21,15,18,20,23,8,16,8,11,4,6,6,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
343925,8552625,7,14,10,8,13,11,12,13,12,13,17,17,8,14,14,5,3,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343975,8552625,15,7,9,12,16,15,13,18,15,15,16,16,13,12,14,9,6,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343675,8552675,14,15,12,20,7,9,13,15,12,8,14,10,9,17,9,8,7,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343725,8552675,9,10,12,14,11,11,19,18,16,8,18,17,11,8,15,6,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343775,8552675,16,19,5,13,14,13,16,14,13,13,16,13,13,9,9,8,8,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343825,8552675,13,6,14,13,13,12,17,21,20,19,18,15,9,14,4,5,7,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343875,8552675,7,11,7,16,13,18,12,14,11,17,18,21,14,9,12,11,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343925,8552675,18,20,13,12,14,22,23,21,20,15,8,14,10,10,8,3,3,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
343975,8552675,11,13,10,12,9,15,10,19,17,16,13,14,11,18,7,8,7,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
343675,8552725,17,8,12,14,11,11,17,19,9,14,18,13,14,10,11,13,14,6,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
343725,8552725,19,9,10,10,12,19,15,15,15,13,9,12,12,6,10,5,6,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343775,8552725,11,6,12,17,14,11,20,13,9,13,13,14,10,3,3,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343825,8552725,18,17,8,16,18,23,20,15,15,10,8,10,4,5,8,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343875,8552725,8,7,8,13,20,22,18,14,16,10,14,16,12,15,8,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343925,8552725,10,14,10,16,10,7,17,15,13,12,15,14,6,12,9,3,5,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343975,8552725,11,11,10,11,14,12,23,15,21,19,9,16,16,10,10,7,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343675,8552775,21,17,15,13,13,16,6,14,13,8,18,12,8,12,11,6,7,4,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
343725,8552775,17,10,9,12,14,14,10,18,14,17,12,14,10,6,10,5,1,4,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
