"X","Y","fire.treat","edge"
350225,8553225,"C","interior"
350275,8553225,"C","interior"
350325,8553225,"C","interior"
350375,8553225,"C","interior"
350425,8553225,"C","interior"
350475,8553225,"C","interior"
350525,8553225,"C","interior"
350575,8553225,"C","interior"
350625,8553225,"C","interior"
350675,8553225,"C","interior"
350725,8553225,"C","interior"
350225,8553275,"C","interior"
350275,8553275,"C","interior"
350325,8553275,"C","interior"
350375,8553275,"C","interior"
350425,8553275,"C","interior"
350475,8553275,"C","interior"
350525,8553275,"C","interior"
350575,8553275,"C","interior"
350625,8553275,"C","interior"
350675,8553275,"C","interior"
350725,8553275,"C","interior"
350225,8553325,"C","interior"
350275,8553325,"C","interior"
350325,8553325,"C","interior"
350375,8553325,"C","interior"
350425,8553325,"C","interior"
350475,8553325,"C","interior"
350525,8553325,"C","interior"
350575,8553325,"C","interior"
350625,8553325,"C","interior"
350675,8553325,"C","interior"
350725,8553325,"C","interior"
350225,8553375,"C","interior"
350275,8553375,"C","interior"
350325,8553375,"C","interior"
350375,8553375,"C","interior"
350425,8553375,"C","interior"
350475,8553375,"C","interior"
350525,8553375,"C","interior"
350575,8553375,"C","interior"
350625,8553375,"C","interior"
350675,8553375,"C","interior"
350225,8553425,"C","interior"
350275,8553425,"C","interior"
350325,8553425,"C","interior"
350375,8553425,"C","interior"
350425,8553425,"C","interior"
350475,8553425,"C","interior"
350525,8553425,"C","interior"
350575,8553425,"C","interior"
350625,8553425,"C","interior"
350675,8553425,"C","interior"
350225,8553475,"C","interior"
350275,8553475,"C","interior"
350325,8553475,"C","interior"
350375,8553475,"C","interior"
350425,8553475,"C","interior"
350475,8553475,"C","interior"
350525,8553475,"C","interior"
350575,8553475,"C","interior"
350625,8553475,"C","interior"
350675,8553475,"C","interior"
350225,8553525,"C","interior"
350275,8553525,"C","interior"
350325,8553525,"C","interior"
350375,8553525,"C","interior"
350425,8553525,"C","interior"
350475,8553525,"C","interior"
350525,8553525,"C","interior"
350575,8553525,"C","interior"
350625,8553525,"C","interior"
350675,8553525,"C","interior"
350225,8553575,"C","interior"
350275,8553575,"C","interior"
350325,8553575,"C","interior"
350375,8553575,"C","interior"
350425,8553575,"C","interior"
350475,8553575,"C","interior"
350525,8553575,"C","interior"
350575,8553575,"C","interior"
350625,8553575,"C","interior"
350675,8553575,"C","interior"
350225,8553625,"C","interior"
350275,8553625,"C","interior"
350325,8553625,"C","interior"
350375,8553625,"C","interior"
350425,8553625,"C","interior"
350475,8553625,"C","interior"
350525,8553625,"C","interior"
350575,8553625,"C","interior"
350625,8553625,"C","interior"
350675,8553625,"C","interior"
350225,8553675,"C","interior"
350275,8553675,"C","interior"
350325,8553675,"C","interior"
350375,8553675,"C","interior"
350425,8553675,"C","interior"
350475,8553675,"C","interior"
350525,8553675,"C","interior"
350575,8553675,"C","interior"
350625,8553675,"C","interior"
350675,8553675,"C","interior"
350225,8553725,"C","edge"
350275,8553725,"C","edge"
350325,8553725,"C","edge"
350375,8553725,"C","edge"
350425,8553725,"C","edge"
350475,8553725,"C","edge"
350525,8553725,"C","edge"
350575,8553725,"C","edge"
350625,8553725,"C","edge"
350675,8553725,"C","edge"
350225,8553775,"C","edge"
350275,8553775,"C","edge"
350325,8553775,"C","edge"
350375,8553775,"C","edge"
350425,8553775,"C","edge"
350475,8553775,"C","edge"
350525,8553775,"C","edge"
350575,8553775,"C","edge"
350625,8553775,"C","edge"
350675,8553775,"C","edge"
350225,8553825,"C","edge"
350275,8553825,"C","edge"
350325,8553825,"C","edge"
350375,8553825,"C","edge"
350425,8553825,"C","edge"
350475,8553825,"C","edge"
350525,8553825,"C","edge"
350575,8553825,"C","edge"
350625,8553825,"C","edge"
350675,8553825,"C","edge"
350225,8553875,"C","edge"
350275,8553875,"C","edge"
350325,8553875,"C","edge"
350375,8553875,"C","edge"
350425,8553875,"C","edge"
350475,8553875,"C","edge"
350525,8553875,"C","edge"
350575,8553875,"C","edge"
350625,8553875,"C","edge"
350675,8553875,"C","edge"
350225,8553925,"C","edge"
350275,8553925,"C","edge"
350325,8553925,"C","edge"
350375,8553925,"C","edge"
350425,8553925,"C","edge"
350475,8553925,"C","edge"
350525,8553925,"C","edge"
350575,8553925,"C","edge"
350625,8553925,"C","edge"
350675,8553925,"C","edge"
350225,8553975,"C","edge"
350275,8553975,"C","edge"
350325,8553975,"C","edge"
350375,8553975,"C","edge"
350425,8553975,"C","edge"
350475,8553975,"C","edge"
350525,8553975,"C","edge"
350575,8553975,"C","edge"
350625,8553975,"C","edge"
350675,8553975,"C","edge"
350225,8554025,"C","edge"
350275,8554025,"C","edge"
350325,8554025,"C","edge"
350375,8554025,"C","edge"
350425,8554025,"C","edge"
350475,8554025,"C","edge"
350525,8554025,"C","edge"
350575,8554025,"C","edge"
350625,8554025,"C","edge"
350675,8554025,"C","edge"
350225,8554075,"C","edge"
350275,8554075,"C","edge"
350325,8554075,"C","edge"
350375,8554075,"C","edge"
350425,8554075,"C","edge"
350475,8554075,"C","edge"
350525,8554075,"C","edge"
350575,8554075,"C","edge"
350625,8554075,"C","edge"
350675,8554075,"C","edge"
350225,8554125,"C","edge"
350275,8554125,"C","edge"
350325,8554125,"C","edge"
350375,8554125,"C","edge"
350425,8554125,"C","edge"
350475,8554125,"C","edge"
350525,8554125,"C","edge"
350575,8554125,"C","edge"
350625,8554125,"C","edge"
350675,8554125,"C","edge"
350225,8554175,"C","edge"
350275,8554175,"C","edge"
350325,8554175,"C","edge"
350375,8554175,"C","edge"
350425,8554175,"C","edge"
350475,8554175,"C","edge"
350525,8554175,"C","edge"
350575,8554175,"C","edge"
350625,8554175,"C","edge"
350675,8554175,"C","edge"
349725,8553225,"3x","interior"
349775,8553225,"3x","interior"
349825,8553225,"3x","interior"
349875,8553225,"3x","interior"
349925,8553225,"3x","interior"
349975,8553225,"3x","interior"
349725,8553275,"3x","interior"
349775,8553275,"3x","interior"
349825,8553275,"3x","interior"
349875,8553275,"3x","interior"
349925,8553275,"3x","interior"
349975,8553275,"3x","interior"
349725,8553325,"3x","interior"
349775,8553325,"3x","interior"
349825,8553325,"3x","interior"
349875,8553325,"3x","interior"
349925,8553325,"3x","interior"
349975,8553325,"3x","interior"
349725,8553375,"3x","interior"
349775,8553375,"3x","interior"
349825,8553375,"3x","interior"
349875,8553375,"3x","interior"
349925,8553375,"3x","interior"
349975,8553375,"3x","interior"
349725,8553425,"3x","interior"
349775,8553425,"3x","interior"
349825,8553425,"3x","interior"
349875,8553425,"3x","interior"
349925,8553425,"3x","interior"
349975,8553425,"3x","interior"
349725,8553475,"3x","interior"
349775,8553475,"3x","interior"
349825,8553475,"3x","interior"
349875,8553475,"3x","interior"
349925,8553475,"3x","interior"
349975,8553475,"3x","interior"
349725,8553525,"3x","interior"
349775,8553525,"3x","interior"
349825,8553525,"3x","interior"
349875,8553525,"3x","interior"
349925,8553525,"3x","interior"
349975,8553525,"3x","interior"
349725,8553575,"3x","interior"
349775,8553575,"3x","interior"
349825,8553575,"3x","interior"
349875,8553575,"3x","interior"
349925,8553575,"3x","interior"
349975,8553575,"3x","interior"
349725,8553625,"3x","interior"
349775,8553625,"3x","interior"
349825,8553625,"3x","interior"
349875,8553625,"3x","interior"
349925,8553625,"3x","interior"
349975,8553625,"3x","interior"
349725,8553675,"3x","interior"
349775,8553675,"3x","interior"
349825,8553675,"3x","interior"
349875,8553675,"3x","interior"
349925,8553675,"3x","interior"
349975,8553675,"3x","interior"
349725,8553725,"3x","edge"
349775,8553725,"3x","edge"
349825,8553725,"3x","edge"
349875,8553725,"3x","edge"
349925,8553725,"3x","edge"
