"spp1","spp2","spp3","spp4","spp5","spp6","spp7","spp8","spp9","spp10","spp11","spp12","spp13","spp14","spp15","spp16","spp17","spp18","spp19","spp20","spp21","spp22","spp23","spp24","spp25","spp26","spp27","spp28","spp29","spp30"
0,1,0,1,0,1,6,9,10,13,10,28,31,46,58,57,70,79,74,74,80,79,68,56,51,37,31,17,20,10
1,0,0,0,1,3,5,4,5,13,15,19,25,39,50,53,74,75,76,77,74,80,61,57,51,35,28,14,7,5
0,0,1,1,0,3,2,8,8,10,23,26,29,42,42,61,71,72,83,79,76,70,62,55,47,41,39,20,13,8
0,1,1,0,2,3,6,3,8,11,31,22,24,47,42,63,71,78,75,84,76,79,65,52,49,41,24,29,13,14
0,0,0,0,1,1,1,6,6,14,13,26,36,37,47,50,64,69,73,76,77,74,67,54,46,38,30,27,8,13
0,0,0,2,0,0,2,6,6,13,19,35,30,37,53,56,66,69,76,84,72,70,65,55,40,31,30,13,12,11
0,0,0,1,0,1,1,8,9,21,23,24,35,37,48,61,63,75,81,80,77,68,76,60,43,42,36,25,17,8
0,1,0,1,1,2,2,4,8,15,15,20,41,40,46,52,65,72,78,78,78,80,62,59,45,34,29,23,13,7
0,1,0,0,3,2,3,3,4,13,15,21,36,41,49,59,65,69,76,76,84,73,61,58,44,34,36,22,14,9
0,0,0,1,0,1,3,8,10,12,17,24,38,32,47,61,63,79,79,74,79,79,62,55,45,33,29,19,16,11
0,0,0,1,3,2,3,3,10,6,13,28,24,41,55,59,60,73,74,78,84,70,68,56,44,46,33,19,23,15
0,0,0,1,1,2,2,10,10,12,19,24,36,50,50,60,73,70,71,78,77,77,75,53,36,28,25,22,15,12
0,1,0,2,3,2,5,7,8,15,20,26,19,42,54,62,59,74,68,70,81,71,70,55,44,31,31,25,18,10
0,0,0,0,1,2,5,4,13,15,13,23,26,36,45,61,69,71,79,75,68,68,70,48,47,35,29,20,15,8
0,0,0,2,1,1,4,6,7,16,23,23,36,47,49,63,75,74,81,72,74,66,66,61,38,35,26,20,19,11
0,1,0,1,1,2,5,6,10,9,18,25,37,45,59,61,66,69,81,73,70,74,53,54,46,24,29,23,12,10
