"z1","z2","z3","z4","z5","z6","z7","z8","z9","z10","z11","z12","z13","z14","z15","z16","z17","z18","z19","z20","z21","z22","z23","z24","z25","z26","z27","z28","z29","z30"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,29,45,70,85,79,46,27,15,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,24,46,68,83,78,54,26,15,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,25,45,80,82,74,45,24,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,31,46,65,81,62,48,25,10,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,15,28,50,68,83,67,44,26,6,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,28,60,74,75,61,50,29,14,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,14,18,51,72,87,67,54,38,15,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,32,41,68,85,70,51,18,10,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,20,50,73,84,66,45,26,12,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,15,19,54,63,87,76,40,32,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,32,43,73,83,70,52,28,15,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,24,47,70,78,74,49,22,12,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,12,22,54,65,80,73,49,21,13,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,13,28,45,73,82,75,41,30,11,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,10,26,46,69,73,76,43,26,8,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,8,20,46,76,81,71,58,22,13,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,25,50,61,74,72,57,29,13,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,11,17,46,73,84,73,55,29,20,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,25,46,72,86,66,46,29,11,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,13,25,53,65,81,74,47,31,5,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,22,42,75,77,67,47,26,13,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,22,48,68,81,63,52,16,14,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,12,33,43,69,75,64,46,23,12,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,12,21,44,82,81,66,47,29,16,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,12,27,54,73,77,66,45,31,14,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,11,24,44,64,80,80,49,26,13,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,14,26,33,69,78,67,54,26,13,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,10,26,59,64,77,80,50,28,14,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,32,42,74,75,73,46,18,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,13,16,43,64,84,67,41,23,10,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,25,54,68,79,64,51,30,14,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,17,50,77,86,76,53,27,13,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,25,49,65,81,72,48,23,9,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,26,48,73,78,74,45,21,12,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,14,29,46,68,78,74,51,38,10,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,10,19,48,78,78,70,45,20,3,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,24,44,77,82,72,50,33,6,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,26,50,71,76,67,48,28,13,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,27,43,66,83,69,36,32,20,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,26,41,80,75,73,42,24,9,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,33,50,73,79,65,52,25,9,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,20,55,68,85,70,44,24,7,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,27,48,71,75,72,55,23,7,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,28,48,72,77,74,46,22,14,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13,28,45,68,75,70,41,29,14,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,33,49,68,90,67,50,29,14,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,12,30,45,69,82,70,53,20,8,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,28,55,63,73,64,55,30,13,9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,23,49,76,83,79,52,23,6,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,18,51,69,76,73,41,21,10,6
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,7,28,40,70,84,77,49,17,13,7
